name,max_supply,href
singulardtv,NIF,https://www.coingecko.com/en/coins/singulardtv/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
voyager,NIF,https://www.coingecko.com/en/coins/voyager/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
sdefi,NIF,https://www.coingecko.com/en/coins/sdefi/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
mysterium,NIF,https://www.coingecko.com/en/coins/mysterium/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
defiville-island,NIF,https://www.coingecko.com/en/coins/defiville-island/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
connect-financial,NIF,https://www.coingecko.com/en/coins/connect-financial/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
data,NIF,https://www.coingecko.com/en/coins/data/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
rbase-finance,1011067.0,https://www.coingecko.com/en/coins/rbase-finance/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
upfiring,NIF,https://www.coingecko.com/en/coins/upfiring/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
promodio,2000000000.0,https://www.coingecko.com/en/coins/promodio/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
spell-token,210000000000.0,https://www.coingecko.com/en/coins/spell-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
fc-barcelona-fan-token,NIF,https://www.coingecko.com/en/coins/fc-barcelona-fan-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
gro-dao-token,100000000.0,https://www.coingecko.com/en/coins/gro-dao-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
covenants,3208201.0,https://www.coingecko.com/en/coins/covenants/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
visor,100000000.0,https://www.coingecko.com/en/coins/visor/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
dragonchain,NIF,https://www.coingecko.com/en/coins/dragonchain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
band-protocol,100000000.0,https://www.coingecko.com/en/coins/band-protocol/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ormeuscoin,NIF,https://www.coingecko.com/en/coins/ormeuscoin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
spacechain-erc-20,NIF,https://www.coingecko.com/en/coins/spacechain-erc-20/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
universe-xyz,1000000000.0,https://www.coingecko.com/en/coins/universe-xyz/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
intelligent-investment-chain,NIF,https://www.coingecko.com/en/coins/intelligent-investment-chain/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
metawhale-gold,1259400.0,https://www.coingecko.com/en/coins/metawhale-gold/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
compound-usdt,NIF,https://www.coingecko.com/en/coins/compound-usdt/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
tardigrades-finance,1e+17,https://www.coingecko.com/en/coins/tardigrades-finance/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
flex-coin,98735764.0,https://www.coingecko.com/en/coins/flex-coin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
starship,NIF,https://www.coingecko.com/en/coins/starship/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
ark,NIF,https://www.coingecko.com/en/coins/ark/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
travala,NIF,https://www.coingecko.com/en/coins/travala/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
dovu,NIF,https://www.coingecko.com/en/coins/dovu/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
bonfida,1000000000.0,https://www.coingecko.com/en/coins/bonfida/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
defhold,NIF,https://www.coingecko.com/en/coins/defhold/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
cxn-network,269279997.0,https://www.coingecko.com/en/coins/cxn-network/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
omni-real-estate-token,NIF,https://www.coingecko.com/en/coins/omni-real-estate-token/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
e-money,NIF,https://www.coingecko.com/en/coins/e-money/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
y-coin,NIF,https://www.coingecko.com/en/coins/y-coin/historical_data/usd?start_date=2012-01-01&end_date=2021-10-05#panel
